PetID,AdoptionSpeed
378fcc4fc,4
73c10e136,2
72000c4c5,1
e147a4b9f,1
43fbba852,4
77a490ec9,4
28c4b1b13,3
d1eada628,2
d134dec34,3
bcd464bb8,4
4e21958c3,4
7b070aed6,1
ff8d0708f,4
f1e6c9bf3,2
248914c05,4
948002885,4
111e67cd2,2
4f4b2ede1,4
d77fca061,3
ac9fb74b9,1
47ef39e7a,3
c69ee9807,1
62dcf8ecb,3
4df1d19d6,2
e8ef8455e,4
cbd23bc17,2
4d1a91ccf,3
004ee5cf7,4
95fad0a75,4
64341b5db,4
36726d4ef,2
0b56a7525,0
7f819d0db,3
550a0368b,4
9f60fc089,4
92ad0b5d6,3
a0465636d,4
257e363e0,1
ead84ae08,1
e3b8f72db,3
3dd3a9a4a,4
7d266f64e,2
ee31cafb8,4
39795544e,1
bd401c9d7,4
ca34f08c5,4
f28185f8b,3
578ded1cf,2
075c67b05,4
2d3f76a93,4
c9049c53d,3
d51a9f925,2
1d4d82bda,3
e56ca790d,4
64d85557b,3
07dfc8e89,3
5891eb6ec,4
1e79f1a74,4
0603e450a,4
4c08175f2,4
63ea487ed,4
94738fe21,4
f8c7d5162,3
3aab441c8,4
9aaaee20a,1
99b56d294,4
35edda33d,1
348fade02,4
301b3b88b,4
59b68d2e2,1
bcb71ba05,3
b3d560f95,2
c87763ce2,1
40f5e930e,4
0e178cab1,4
ea75287c4,2
128337e08,4
1a92f6e92,4
f1eb8b164,4
959a881a3,4
699ede995,3
95b2b8d75,4
75f25bcb6,0
87c583bbc,1
c74a234f2,4
02661c4c5,3
fee0eca1a,3
1ec246964,3
9d9ac4430,3
68801b60f,3
fe174feaf,4
295d49ea4,3
6ab47c3bb,4
bdb8343cb,4
d36ac8c08,4
3972dce9e,3
a0b3ccddc,4
6e4ba0bbc,4
b23d4068f,4
2920191f9,4
d683ca8e2,4
48efa3f5e,4
e03924fbe,4
6d19b5b19,3
c224db738,1
1b5ee9232,4
a3af20492,2
1dfaadc39,2
427a7d9a4,4
d8e945151,3
27c72b14a,3
3b69b9208,4
cc5e6046a,4
ff78e02f1,3
2499a5ac3,3
53c4f449e,4
4f167e094,3
76b8cdefd,1
94c6c543b,4
835cb2fef,4
a90f1da14,4
4db3fb6cd,4
6d680bfcd,4
ff8d81a17,4
bddf3eba7,4
af689290f,4
83c01a2f1,4
73a62be68,3
b590148db,3
c143aa174,1
71866498f,4
959973c0a,3
87bf9db6c,4
3ccb69d5e,4
e9a238ffc,2
8b590e38d,4
ae69e67e9,3
4ccb74caf,1
023572703,4
c8107d860,4
ae6da35ad,3
0b3c0c460,4
ddb893ad0,3
31896f476,1
091271d52,0
7977c1678,3
c584098d4,4
7c0eb87d7,1
bc2140510,1
500ddcf93,1
f9d04b2c1,1
1895238aa,1
7410e4590,1
238a79d8f,1
335c29a28,1
9b7e7d728,1
9bb49d92f,2
47edb873c,2
0de470e08,1
fcbadee1d,1
b245ba4ee,1
a752c78f4,1
201dab625,1
4fb06e56b,2
57fc14141,4
b5f878e59,1
dfa4ed447,1
9685bf777,2
bf5e0d442,2
78a8f8a07,1
92143aaee,2
f72282155,1
aac356b94,1
f86d87b63,1
e38b05c0d,0
b058642e7,1
655867ece,2
e024807df,4
4192f7f1b,1
2b9c8cfa6,2
1640ba06b,1
bef3d72f4,1
7fda5f5f8,1
67405624c,1
96c7bbbaf,2
6bbf1c7a8,2
5470874da,4
677287d56,0
10888c73f,1
c941bf351,1
db6972cb2,3
a657b0ea6,2
e9143cfdf,2
c1805e832,1
261ce8fc3,1
de136c13b,3
8ed7d0992,2
da111ef86,1
9af944fc5,2
0325c6d0c,1
b003e8b9f,4
889bfaf96,1
a4404351a,1
3a00823a4,1
5e98f3ff3,3
d8acef713,1
b974a19cd,3
df21b3124,2
9b01e4b24,1
387ae48fc,1
1ee21b297,1
8fd546c6f,1
dbe6d4fd1,1
09dbd2f26,4
2acdd3a56,1
8b6fd3411,1
26f787401,1
cea74a1f7,2
df4f4130b,1
ef6b5d97f,1
97a07be8d,3
b079f32ce,2
964243fcb,3
6c48a45ee,1
0f3aa4636,2
3bd5dd377,1
bd86f3b7c,1
4af2a37ff,1
0dee9d530,1
1430f6686,1
f6b750fa0,2
851572525,1
b8821af5e,2
7c0cb2781,1
5882f07fa,1
b4dbe4f8d,2
58834bef4,4
d32ca0658,3
0a4d04d13,1
99c6a442d,2
99a0d761b,2
5cfe97f4d,3
5edfbf6ba,3
0b1d74132,2
90336856d,1
223157063,3
1f1ddd287,4
cd51d5ffe,0
144d036b1,3
3b715cea3,1
176780982,3
7950faa64,1
c55bc1c7c,0
b2b237033,3
81d4518ee,3
4df1ef790,1
0915242e3,4
9bc2df0bb,4
1fb65d9a3,3
65a011bca,4
88147811c,4
fff5752ef,2
8f52ecfdd,4
cd4d7d073,1
cbf5be359,4
4d1055a38,2
ad4d4083a,1
a27323945,3
df25123be,4
64048c5fb,1
d160d237c,3
684c1757e,3
0ab53d252,3
cefd51047,2
c48a69f0a,4
da11448b6,1
f5bc25243,2
7a0627be7,4
e13c0f168,3
0eb92ca85,3
6f3a546dc,2
60dc59d7e,1
50848490f,1
ebbfc5416,4
be33711da,3
29ffee2ab,3
f22172a19,4
de5a1529d,3
78bf39732,4
df90f6792,3
d6ab3d456,1
bb36edf54,2
ef5d82c92,4
7700279d3,4
abc94aacf,1
771d872a7,4
7b074b69d,4
0b74e8432,2
fa07edb31,4
0a9497647,2
2e6ed1d30,2
e9665fc0f,1
b58629240,2
fb3a6969b,4
d739b8ea0,3
351ca0f97,4
41b3f325e,4
1e5fba5c2,2
efbc6b3fe,4
c4fa4914b,2
c1a0105d0,2
a5c61707b,2
f31765a83,4
f554997f5,2
b4b53b798,1
5eb07029d,2
7aa891436,1
53d7bd640,2
9e1db93d7,2
002d58f95,2
801ce34d9,2
971d25a97,2
82203c5da,2
9a5b91c0a,2
838c99628,3
04465b5e7,3
3f9fd0166,4
baa12ea44,2
0584689f1,4
3bf766f12,3
cc854698d,3
0f14425da,1
eea05de84,4
24a749cf5,4
6b0e3e8a4,2
26cad56b0,1
6cd12b223,2
f75ef16b3,1
50d9eb08e,1
1d9b084a3,1
557b18791,3
872d0a084,3
6f35aa679,2
5f1a99014,2
820720238,1
a09a02848,3
ed19d5a78,2
7f1d157a6,4
5b1b64fc6,3
a76126713,1
55a13f499,3
70c322ca8,2
b759d6a14,3
48f5fa3df,1
835f0b15c,2
b000029b2,4
0768924b3,1
c3e62dc54,4
72123cd55,3
b40e4f9e9,4
a12e55ad6,4
cf01fc160,1
617e5fe89,3
ef4302021,3
7f5646199,4
d5d8f297e,4
78db7b8e3,1
ec92805e3,4
d8823e6dd,2
e76e72f23,2
ec767387d,2
69c0631de,2
8049de4a7,2
b6c980449,3
928357091,2
60f010c04,2
8aa1e6cb5,0
02d7d425a,4
3eec94b7b,3
ab8ab0e02,1
bddd0c64a,3
b7e885611,1
a0a0ddd80,1
d826ef544,2
08f0404e1,4
33f5c30ff,2
e1eaf1f74,2
e4618b7b9,3
a50d71570,3
4a288da21,1
9d9733860,4
73f318529,1
cca745253,2
eacbd58b0,2
eec125a4a,3
502911dbd,4
e04a35a41,4
5342033a7,2
cdaf456cf,3
75e4fbcef,4
3087667fd,3
7562239de,4
2378b2a7d,2
ea1a2b014,4
c86c3f3b3,3
87db66a72,4
9e8aed47c,4
aa4ec0b7b,1
54e04a9c4,2
4b047a13d,4
780edb258,2
f3c696dce,3
532aa2fb9,2
9f814c16e,2
1d7cdece4,4
e3b49febf,4
8ad63f37f,2
a7d5c2242,1
c43c466e3,1
c3433e19d,2
1b5943aaa,0
1f27709ce,2
93b1fdf09,2
8d7fbf152,1
e46215f44,1
92ae90261,4
c26273a72,4
b6faa5d0c,3
831daae06,4
7be9199b4,4
a5b873b6e,4
b702963dd,3
a982d66db,1
81fa439c6,3
31a535f56,3
cc6abdd95,4
de097478a,4
f69593c1b,2
948ce715f,3
f9f2a222e,2
5a393e52c,4
bb55b187f,2
4657c608a,2
879067966,4
6fdc13751,3
058d9f3fd,1
4137e2c58,4
a0e97dd06,1
87eeb11ac,4
e0be7d774,4
d405dfce6,4
a6914376f,3
e6845a1d1,1
1ae728335,2
849b12fe0,3
7a82b099c,1
891b51d83,4
987c30415,4
fa42fddef,3
44664ad4a,4
cf38c80ab,2
5408a54c7,3
4303c865e,3
b39f6200e,3
97ebb54fe,4
717d8019c,4
98c8a3e58,3
29c57716c,2
46d2d6f64,3
dfd722c50,2
4487f2bcf,4
e5e796868,4
30e80f19c,1
1ae174833,2
4b4881b91,4
0e2869ac3,4
e938a1e6a,3
82214f3a4,4
28cd684a5,0
8bc2c1ead,4
6e0ee24b0,4
cb8d2a118,4
a4de34766,4
9dc89cdab,3
b0bbd1503,1
1be0db8e9,0
85cacbcec,2
db1b7bf8b,4
de7ae1f0b,4
c9b70a7c4,3
8e3fe7b5e,3
ac13c0cd4,4
7400342c0,2
20647571b,2
feea78c0a,2
8807673c1,3
e554dffbc,2
79d37667e,2
926ef2f60,4
20f58ed95,4
073f57c15,3
0f8b0cb3c,4
878904af4,2
ea6f66062,1
ac3e0a48f,1
004cf6089,1
5cfe411cb,2
7ebafbae3,4
f9cf956fc,3
a53278ff3,4
19a0f671b,1
d26296a67,4
9b2f67c6e,2
6f3d75dc1,3
3ff5b908e,3
f3c74e463,2
145aa4d64,2
f42a5b81c,1
995728b7e,4
c3fc3bcb8,1
a3ea76f09,1
b51266b11,4
2801de50d,1
0ad9d4fd0,4
4f1941c1b,4
39cc80de9,3
223f25172,2
b4719ca7c,1
d56197b06,2
f3e46aa6e,4
772111493,2
26b387591,2
da4823525,1
f1e8168ce,2
6a6d80b9a,1
22d0da252,2
af52f13a5,2
73415ac0e,3
577ba4e53,4
97fadb81f,3
f0a9e7880,4
1265338d2,1
1fceb7280,4
8aaa5af7f,4
58af044bb,2
a4974980b,4
83bf26924,4
f1eff69a3,4
3b9dd74b8,1
494442e83,4
9466c9b36,2
000c21f80,1
a226c0872,4
93750c323,1
c98ae5256,4
f338db3f3,4
beaffb689,0
6cae4ce75,1
4797fd404,2
79c97b719,4
a462f03c3,3
269dbc193,1
936ae4908,4
534f1885c,2
4057b6a41,1
